Product name,Product price,image
Nissan X-Trail 2.0 2005 Black,"KSh 450,000",https://pictures-kenya.jijistatic.com/53389514_MTgwLTE4MC0xOTJkNTE3MDQ2.jpg
BMW 520i 1990 White,"KSh 350,000",https://pictures-kenya.jijistatic.com/53413204_MTgwLTEzNS1lNzM2ZjY5YTBm.jpg
New Lexus LX 2023 White,"KSh 35,000,000",https://pictures-kenya.jijistatic.com/53162673_MTgwLTEzNS00YzkzNTA2Y2Jh.jpg
Mazda Axela SV Premium 2014 Black,"KSh 1,380,000",https://pictures-kenya.jijistatic.com/53383950_MTgwLTI0MC04MjIyYmJlMjMz.jpg
Toyota Vanguard 2010 Matt Black,"KSh 1,600,000",https://pictures-kenya.jijistatic.com/53431393_MTgwLTE2My1jMGFkYWM0MTQ2.jpg
BMW 116i 2016 Pearl,"KSh 2,350,000",https://pictures-kenya.jijistatic.com/53426344_MTgwLTEyNS03MzZjYzlhMmMz.jpg
Toyota Mark X 2010 White,"KSh 595,000",https://pictures-kenya.jijistatic.com/53438639_MTgwLTEzNS00NTMwODFlM2E2.jpg
Subaru Legacy 2016 Black,"KSh 2,100,000",https://pictures-kenya.jijistatic.com/53394557_MTgwLTEzNS1hOTE4NDMxY2Jk.jpg
BMW X5 2005 Black,"KSh 980,000",https://pictures-kenya.jijistatic.com/53349639_MTgwLTE1Ni0wNWVjYjE1ZjRl.jpg
Suzuki Escudo 2006 Gray,"KSh 675,000",https://pictures-kenya.jijistatic.com/53435478_MTgwLTEzNS00MjMzYmI5NzJk.jpg
Mazda Atenza 2016 Gray,"KSh 1,999,000",https://pictures-kenya.jijistatic.com/53383358_MTgwLTEzNS1jNTVhMTkzNTNk.jpg
Honda Insight 2011 Silver,"KSh 570,000",https://pictures-kenya.jijistatic.com/53376766_MTgwLTEzNS02MzNhNTBjNGQ5.jpg
Toyota Land Cruiser 1998 Blue,"KSh 1,350,000",https://pictures-kenya.jijistatic.com/53388361_MTgwLTEzNS1jNTZiMWY1OWJi.jpg
Toyota Vitz 2012 Silver,"KSh 450,000",https://pictures-kenya.jijistatic.com/53425580_MTgwLTEzNS02YjM3MTA5MWQ1.jpg
